央视频道,#genre#
CCTV-5+ 体育赛事,http://222.134.245.16:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
CCTV-5+ 体育赛事,http://112.123.206.32:808/hls/6/index.m3u8$112.123.206.32:808
CCTV-5+ 体育赛事,http://223.151.49.74:59901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
CCTV-5+ 体育赛事,http://123.189.36.186:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0$123.189.36.186:9901
CCTV-5+ 体育赛事,http://58.48.37.158:1111/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$58.48.37.158:1111
CCTV-5+ 体育赛事,http://119.163.199.98:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$119.163.199.98:9901
CCTV-6 电影,http://110.189.102.15:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
CCTV-6 电影,http://111.9.163.109:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$111.9.163.109:9901
CCTV-6 电影,http://58.51.111.46:1111/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$58.51.111.46:1111
CCTV-6 电影,http://58.245.97.28:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0$58.245.97.28:9901
CCTV-6 电影,http://222.134.245.16:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
CCTV-6 电影,http://223.151.49.74:59901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
CCTV-6 电影,http://58.48.37.158:1111/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$58.48.37.158:1111
CCTV-6 电影,http://223.241.247.214:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$223.241.247.214:85
CCTV-6 电影,http://202.100.46.58:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$202.100.46.58:9901
CCTV-6 电影,http://113.57.93.165:9900/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$113.57.93.165:9900
CCTV-7 国防军事,http://110.189.102.15:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
CCTV-7 国防军事,http://222.134.245.16:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
CCTV-7 国防军事,http://223.151.49.74:59901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
CCTV-7 国防军事,http://112.123.206.32:808/hls/8/index.m3u8$112.123.206.32:808
CCTV-7 国防军事,http://58.48.37.158:1111/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$58.48.37.158:1111
CCTV-7 国防军事,http://123.189.36.186:9901/tsfile/live/1159_1.m3u8?key=txiptv&playlive=1&authid=0$123.189.36.186:9901
CCTV-7 国防军事,http://61.138.54.155:2233/hls/8/index.m3u8$61.138.54.155:2233
CCTV-7 国防军事,http://119.163.199.98:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$119.163.199.98:9901
CCTV-8 电视剧,http://222.134.245.16:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
CCTV-8 电视剧,http://42.48.17.204:808/hls/9/index.m3u8$42.48.17.204:808
CCTV-8 电视剧,http://58.245.97.28:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0$58.245.97.28:9901
CCTV-8 电视剧,http://110.189.102.15:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
CCTV-8 电视剧,http://111.9.163.109:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$111.9.163.109:9901
CCTV-8 电视剧,http://112.123.206.32:808/hls/9/index.m3u8$112.123.206.32:808
CCTV-8 电视剧,http://58.51.111.46:1111/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$58.51.111.46:1111
CCTV-8 电视剧,http://223.241.247.214:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$223.241.247.214:85
CCTV-8 电视剧,http://223.151.49.74:59901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
CCTV-8 电视剧,http://202.100.46.58:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$202.100.46.58:9901
CCTV-9 纪录,http://112.123.206.32:808/hls/10/index.m3u8$112.123.206.32:808
CCTV-9 纪录,http://110.189.102.15:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
CCTV-9 纪录,http://223.241.247.214:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$223.241.247.214:85
CCTV-9 纪录,http://222.134.245.16:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
CCTV-9 纪录,http://223.151.49.74:59901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
CCTV-9 纪录,http://58.51.111.46:1111/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$58.51.111.46:1111
CCTV-9 纪录,http://58.48.37.158:1111/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$58.48.37.158:1111
CCTV-9 纪录,http://123.189.36.186:9901/tsfile/live/1160_1.m3u8?key=txiptv&playlive=1&authid=0$123.189.36.186:9901
CCTV-9 纪录,http://42.48.17.204:808/hls/10/index.m3u8$42.48.17.204:808
